Model,AUC-ROC,PR-AUC
Random Forest,0.9242602659278109,0.7216046180106463
XGBoost,0.9477450345585687,0.8193866187179975
Neural Network,0.9035477119065187,0.6303579163907673
 Ensemble (XGB+RF),0.9458597479257329,0.7956322986871789
